severity,source,record_code,issue_type,details
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C0031D,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C0031D,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C0031D,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C0031D,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,900C031F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3381FA,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C3021,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C10011M,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C10011M,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C10011M,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C10011M,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C10011M,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C10011M,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C5001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C5001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C5001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C5001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C5001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C5001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C5001,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,750C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1082,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1082,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1082,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1082,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1082,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1082,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1082,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1082,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3001HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C3021HDUV,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C0001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C0001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C0001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C0001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C0001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C0001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,910C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,910C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,910C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,910C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,910C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2101,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2101,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2101,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2101,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2101,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2101,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2101,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C2101,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0001HT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C2091,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,500C2091,Missing FG Reference,FG code missing in FG inventory
